,version,classify,mAP5095,mAP50,mAP75,AR5095,precision,recall,f1,inference
0,a,True,0.14096690733587727,0.2244912602013678,0.15055331982981485,0.17506561679790028,0.6524822695035462,0.24146981627296588,0.35249042145593873,2.159444324897997
1,a,False,0.1485707843992789,0.240787664575418,0.15799778689805727,0.184251968503937,0.6643835616438356,0.2545931758530184,0.3681214421252372,2.1338397604046446
2,b,True,0.1250534301021983,0.19894188495094361,0.13091973606545382,0.1501312335958005,0.7692307692307693,0.2099737532808399,0.32989690721649484,2.239953140778975
3,b,False,0.1324679600493091,0.2082602478820278,0.13923339213566668,0.15774278215223098,0.7777777777777778,0.2204724409448819,0.34355828220858897,2.091778834660848
