version,classify,classify_name,mAP5095,mAP75,mAP50,precision,recall,f1,inference
a,True,resnet50,0.09713784597534422,0.09645960137178096,0.15944114985326535,0.6559139784946236,0.16010498687664043,0.25738396624472576,0.12902852405201304
a,False,resnet50,0.1485707843992789,0.15799778689805727,0.240787664575418,0.6643835616438356,0.2545931758530184,0.3681214421252372,0.13906887516830907
b,True,resnet50,0.08347449248876283,0.08862219548599723,0.13706650374285806,0.7746478873239436,0.14435695538057744,0.24336283185840707,0.15543286872632575
b,False,resnet50,0.1324679600493091,0.13923339213566668,0.2082602478820278,0.7777777777777778,0.2204724409448819,0.34355828220858897,0.14900418917338054
