                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2203,                 1.4996,                 1.3599,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.073338,              0.0066654,              0.0066654
                      2,                 1.9504,                 1.1587,                 1.2396,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.044786,               0.011447,               0.011447
                      3,                 1.8164,                 1.0133,                 1.1846,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.014348,               0.014342,               0.014342
                      4,                 1.7133,                0.91591,                 1.1453,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.011514,               0.011514,               0.011514
                      5,                 1.6156,                  0.829,                 1.1092,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0086857,              0.0086857,              0.0086857
