id,model,batch,lr,freeze,pretrained,augment,epochs,percval,obs_no,md_z1_trainval,md_z2_trainval,md_test_no,optimizer,img_sz
0,yolo8n,std,std,std,std,std,std,std,std,std,std,std,std,std
1,yolo8n,16,std,std,std,std,std,std,std,std,std,std,std,std
2,yolo8n,64,std,std,std,std,std,std,std,std,std,std,std,std
3,yolo8n,std,std,std,std,std,std,std,std,std,std,std,Adam,std
4,yolo8n,std,std,std,std,std,std,std,std,std,std,std,AdamW,std
5,yolo8n,std,std,5,std,std,std,std,std,std,std,std,std,std
6,yolo8n,std,std,10,std,std,std,std,std,std,std,std,std,std
7,yolo5s,std,0.05,std,std,std,std,std,std,std,std,std,std,std
